1,0.357421875 0.712890625 0.08203125 0.05859375
5,0.357421875 0.712890625 0.08203125 0.05859375
7,0.357421875 0.712890625 0.08203125 0.05859375
8,0.357421875 0.712890625 0.08203125 0.05859375
10,0.357421875 0.712890625 0.08203125 0.05859375
11,0.357421875 0.712890625 0.08203125 0.05859375
12,0.357421875 0.712890625 0.08203125 0.05859375
13,0.357421875 0.712890625 0.08203125 0.05859375
18,0.357421875 0.712890625 0.08203125 0.05859375
19,0.357421875 0.712890625 0.08203125 0.05859375
23,0.357421875 0.712890625 0.08203125 0.05859375
25,0.357421875 0.712890625 0.08203125 0.05859375
26,0.357421875 0.712890625 0.08203125 0.05859375
27,0.357421875 0.712890625 0.08203125 0.05859375
28,0.357421875 0.712890625 0.08203125 0.05859375
32,0.357421875 0.712890625 0.08203125 0.05859375
34,0.357421875 0.712890625 0.08203125 0.05859375
35,0.357421875 0.712890625 0.08203125 0.05859375
36,0.357421875 0.712890625 0.08203125 0.05859375
40,0.357421875 0.712890625 0.08203125 0.05859375
43,0.357421875 0.712890625 0.08203125 0.05859375
44,0.357421875 0.712890625 0.08203125 0.05859375
47,0.357421875 0.712890625 0.08203125 0.05859375
54,0.357421875 0.712890625 0.08203125 0.05859375
56,0.357421875 0.712890625 0.08203125 0.05859375
61,0.357421875 0.712890625 0.08203125 0.05859375
62,0.357421875 0.712890625 0.08203125 0.05859375
65,0.357421875 0.712890625 0.08203125 0.05859375
66,0.357421875 0.712890625 0.08203125 0.05859375
67,0.357421875 0.712890625 0.08203125 0.05859375
68,0.357421875 0.712890625 0.08203125 0.05859375
70,0.357421875 0.712890625 0.08203125 0.05859375
72,0.357421875 0.712890625 0.08203125 0.05859375
73,0.357421875 0.712890625 0.08203125 0.05859375
76,0.357421875 0.712890625 0.08203125 0.05859375
78,0.357421875 0.712890625 0.08203125 0.05859375
80,0.357421875 0.712890625 0.08203125 0.05859375
81,0.357421875 0.712890625 0.08203125 0.05859375
90,0.357421875 0.712890625 0.08203125 0.05859375
91,0.357421875 0.712890625 0.08203125 0.05859375
92,0.357421875 0.712890625 0.08203125 0.05859375
93,0.357421875 0.712890625 0.08203125 0.05859375
95,0.357421875 0.712890625 0.08203125 0.05859375
96,0.357421875 0.712890625 0.08203125 0.05859375
98,0.357421875 0.712890625 0.08203125 0.05859375
99,0.357421875 0.712890625 0.08203125 0.05859375
104,0.357421875 0.712890625 0.08203125 0.05859375
106,0.357421875 0.712890625 0.08203125 0.05859375
107,0.357421875 0.712890625 0.08203125 0.05859375
108,0.357421875 0.712890625 0.08203125 0.05859375
111,0.357421875 0.712890625 0.08203125 0.05859375
112,0.357421875 0.712890625 0.08203125 0.05859375
115,0.357421875 0.712890625 0.08203125 0.05859375
118,0.357421875 0.712890625 0.08203125 0.05859375
121,0.357421875 0.712890625 0.08203125 0.05859375
125,0.357421875 0.712890625 0.08203125 0.05859375
126,0.357421875 0.712890625 0.08203125 0.05859375
127,0.357421875 0.712890625 0.08203125 0.05859375
128,0.357421875 0.712890625 0.08203125 0.05859375
131,0.357421875 0.712890625 0.08203125 0.05859375
132,0.357421875 0.712890625 0.08203125 0.05859375
134,0.357421875 0.712890625 0.08203125 0.05859375
135,0.357421875 0.712890625 0.08203125 0.05859375
136,0.357421875 0.712890625 0.08203125 0.05859375
137,0.357421875 0.712890625 0.08203125 0.05859375
138,0.357421875 0.712890625 0.08203125 0.05859375
143,0.357421875 0.712890625 0.08203125 0.05859375
147,0.357421875 0.712890625 0.08203125 0.05859375
150,0.357421875 0.712890625 0.08203125 0.05859375
151,0.357421875 0.712890625 0.08203125 0.05859375
152,0.357421875 0.712890625 0.08203125 0.05859375
153,0.357421875 0.712890625 0.08203125 0.05859375
156,0.357421875 0.712890625 0.08203125 0.05859375
157,0.357421875 0.712890625 0.08203125 0.05859375
158,0.357421875 0.712890625 0.08203125 0.05859375
160,0.357421875 0.712890625 0.08203125 0.05859375
161,0.357421875 0.712890625 0.08203125 0.05859375
163,0.357421875 0.712890625 0.08203125 0.05859375
165,0.357421875 0.712890625 0.08203125 0.05859375
167,0.357421875 0.712890625 0.08203125 0.05859375
168,0.357421875 0.712890625 0.08203125 0.05859375
170,0.357421875 0.712890625 0.08203125 0.05859375
172,0.357421875 0.712890625 0.08203125 0.05859375
175,0.357421875 0.712890625 0.08203125 0.05859375
177,0.357421875 0.712890625 0.08203125 0.05859375
180,0.357421875 0.712890625 0.08203125 0.05859375
182,0.357421875 0.712890625 0.08203125 0.05859375
183,0.357421875 0.712890625 0.08203125 0.05859375
185,0.357421875 0.712890625 0.08203125 0.05859375
186,0.357421875 0.712890625 0.08203125 0.05859375
190,0.357421875 0.712890625 0.08203125 0.05859375
193,0.357421875 0.712890625 0.08203125 0.05859375
194,0.357421875 0.712890625 0.08203125 0.05859375
195,0.357421875 0.712890625 0.08203125 0.05859375
196,0.357421875 0.712890625 0.08203125 0.05859375
198,0.357421875 0.712890625 0.08203125 0.05859375
205,0.357421875 0.712890625 0.08203125 0.05859375
207,0.357421875 0.712890625 0.08203125 0.05859375
208,0.357421875 0.712890625 0.08203125 0.05859375
209,0.357421875 0.712890625 0.08203125 0.05859375
213,0.357421875 0.712890625 0.08203125 0.05859375
215,0.357421875 0.712890625 0.08203125 0.05859375
